"animeName","score","ranked","popularity","membre"
"Fullmetal Alchemist: Brotherhood",9.16,1,3,2628360
"Shingeki no Kyojin Season 3 Part 2",9.1,2,34,1543358
"Steins;Gate",9.1,3,11,2055799
"Gintama°",9.09,4,338,472441
"Fruits Basket: The Final",9.08,5,671,258513
"Gintama'",9.06,6,381,421301
"Hunter x Hunter (2011)",9.06,7,10,2099406
"Ginga Eiyuu Densetsu",9.05,8,669,259207
"Gintama': Enchousen",9.04,9,676,256165
"Gintama.",8.99,10,719,240769
"Gintama: The Final",8.99,11,1949,74476
"3-gatsu no Lion 2nd Season",8.98,12,523,317861
"Koe no Katachi",8.97,13,23,1734984
"Clannad: After Story",8.95,14,97,1012708
"Gintama",8.95,15,123,870867
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare",8.94,16,910,192633
"Shingeki no Kyojin: The Final Season",8.92,17,58,1295833
"Owarimonogatari 2nd Season",8.91,18,525,317181
"Code Geass: Hangyaku no Lelouch R2",8.91,19,45,1445401
"Kimi no Na wa.",8.9,20,9,2115311
"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen",8.88,21,1207,142690
"Shiguang Dailiren",8.88,22,1425,113786
"Violet Evergarden Movie",8.87,23,547,307288
"Gintama.: Shirogane no Tamashii-hen",8.82,24,1113,155857
"Mob Psycho 100 II",8.82,25,88,1068831
"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou",8.81,26,114,916597
"Kizumonogatari III: Reiketsu-hen",8.81,27,447,364065
"Monster",8.8,28,159,746475
"Odd Taxi",8.8,29,934,187015
"Sen to Chihiro no Kamikakushi",8.8,30,42,1463598
"Monogatari Series: Second Season",8.78,31,255,568680
"Cowboy Bebop",8.77,32,44,1449143
"Fate/stay night Movie: Heaven's Feel - III. Spring Song",8.76,33,794,219708
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen",8.76,34,1095,157402
"Mushishi Zoku Shou 2nd Season",8.75,35,785,220934
"Hajime no Ippo",8.74,36,363,436784
"Jujutsu Kaisen (TV)",8.74,37,46,1453795
"Vinland Saga",8.73,38,113,920423
"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen",8.72,39,710,243858
"Evangelion: 3.0+1.0 Thrice Upon a Time",8.72,40,769,229961
"Kimetsu no Yaiba Movie: Mugen Ressha-hen",8.72,41,139,819438
"Code Geass: Hangyaku no Lelouch",8.71,42,17,1825090
"Mushishi Zoku Shou",8.71,43,684,251558
"Made in Abyss",8.7,44,94,1016753
"Made in Abyss Movie 3: Fukaki Tamashii no Reimei",8.7,45,613,275178
"Great Teacher Onizuka",8.69,46,199,666183
"Mononoke Hime",8.69,47,99,1001721
"Shigatsu wa Kimi no Uso",8.69,48,22,1745861
"Mushishi",8.68,49,184,689491
"Ashita no Joe 2",8.68,50,2934,36258
"Haikyuu!! Second Season",8.67,51,85,1103069
"Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen",8.67,52,116,902890
"Hajime no Ippo: New Challenger",8.66,53,779,223691
"Howl no Ugoku Shiro",8.66,54,98,1008684
"Natsume Yuujinchou Shi",8.66,55,827,210155
"Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai",8.65,56,318,497150
"Tengen Toppa Gurren Lagann",8.65,57,54,1349786
"Violet Evergarden",8.65,58,56,1320182
"Natsume Yuujinchou Roku",8.64,59,1146,152008
"Mo Dao Zu Shi: Wanjie Pian",8.64,60,2986,35114
"Death Note",8.63,61,1,3089595
"Suzumiya Haruhi no Shoushitsu",8.63,62,296,528992
"Ping Pong the Animation",8.62,63,537,311596
"Shingeki no Kyojin Season 3",8.62,64,26,1673152
"Mushishi Zoku Shou: Suzu no Shizuku",8.61,65,1494,106937
"Ookami Kodomo no Ame to Yuki",8.61,66,186,685577
"Kizumonogatari II: Nekketsu-hen",8.6,67,459,356553
"Hajime no Ippo: Rising",8.59,68,891,197494
"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze",8.59,69,170,706070
"One Piece",8.59,70,30,1648409
"Shouwa Genroku Rakugo Shinjuu",8.59,71,698,247426
"Yojouhan Shinwa Taikei",8.59,72,455,357823
"Natsume Yuujinchou Go",8.58,73,1150,151328
"Natsume Yuujinchou San",8.58,74,799,217663
"Yakusoku no Neverland",8.58,75,38,1484102
"Fate/Zero 2nd Season",8.58,76,112,922079
"Fruits Basket 2nd Season",8.58,77,516,322994
"Kimetsu no Yaiba",8.58,78,13,2025622
"Kimi no Suizou wo Tabetai",8.58,79,219,637035
"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen",8.57,80,955,183145
"Mushishi: Hihamukage",8.56,81,1408,116456
"Zoku Natsume Yuujinchou",8.56,82,809,215630
"Bakuman. 3rd Season",8.56,83,581,290232
"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly",8.56,84,616,274564
"Josee to Tora to Sakana-tachi",8.56,85,914,194529
"Kara no Kyoukai 5: Mujun Rasen",8.55,86,852,205029
"Sora yori mo Tooi Basho",8.55,87,405,397428
"Neon Genesis Evangelion: The End of Evangelion",8.54,88,180,696435
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2",8.54,89,244,583559
"Yuru Camp<U+25B3> Season 2",8.54,90,1138,152733
"Haikyuu!!: To the Top 2nd Season",8.54,91,287,540756
"Gintama.: Porori-hen",8.53,92,1133,153356
"Koukaku Kidoutai: Stand Alone Complex 2nd GIG",8.53,93,860,201991
"One Punch Man",8.53,94,5,2527498
"Slam Dunk",8.53,95,755,231582
"Tian Guan Ci Fu Special",8.52,96,3853,21476
"Ansatsu Kyoushitsu 2nd Season",8.52,97,86,1100667
"Gintama Movie 1: Shinyaku Benizakura-hen",8.52,98,1287,132500
"Aria the Origination",8.51,99,1497,106795
"Banana Fish",8.51,100,237,601350
"Gintama: The Semi-Final",8.51,101,2752,40889
"Kenpuu Denki Berserk",8.51,102,331,485332
"Perfect Blue",8.51,103,326,489217
"Shingeki no Kyojin",8.51,104,2,3073499
"Steins;Gate 0",8.51,105,183,689032
"Uchuu Kyoudai",8.51,106,1042,164463
"Vivy: Fluorite Eye's Song",8.51,107,531,317262
"Rainbow: Nisha Rokubou no Shichinin",8.5,108,490,336251
"Samurai Champloo",8.5,109,95,1017101
"Fumetsu no Anata e",8.5,110,283,543339
"Hotaru no Haka",8.5,111,304,518762
"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai",8.5,112,143,798461
"Kobayashi-san Chi no Maid Dragon S",8.5,113,522,316918
"Chihayafuru 3",8.49,114,1500,106565
"Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu",8.49,115,268,552347
"Mo Dao Zu Shi",8.49,116,1028,165991
"Nana",8.49,117,332,485435
"Shingeki no Kyojin Season 2",8.49,118,12,2031545
"Zoku Owarimonogatari",8.48,119,973,177441
"Mob Psycho 100",8.48,120,36,1531697
"Haikyuu!!",8.47,121,37,1504037
"Holo no Graffiti",8.47,122,2866,37758
"Kingdom 3rd Season",8.47,123,2401,52896
"Saenai Heroine no Sodatekata Fine",8.47,124,1327,126372
"Steins;Gate Movie: Fuka Ryouiki no Déjà vu",8.47,125,320,496824
"Nichijou",8.46,126,162,729256
"Owarimonogatari",8.46,127,397,402846
"Mushishi Zoku Shou: Odoro no Michi",8.45,128,1788,84823
"Yuu<U+2606>Yuu<U+2606>Hakusho",8.45,129,276,548991
"Golden Kamuy 3rd Season",8.45,130,1512,106011
"Mahou Shoujo Madoka<U+2605>Magica Movie 3: Hangyaku no Monogatari",8.45,131,530,315327
"Mo Dao Zu Shi: Xian Yun Pian",8.45,132,2000,70547
"Gintama: Yorinuki Gintama-san on Theater 2D",8.44,133,2942,36148
"Koukaku Kidoutai: Stand Alone Complex",8.44,134,474,348043
"Mononoke",8.44,135,682,253943
"Saiki Kusuo no <U+03A8>-nan 2",8.44,136,343,462624
"Saiki Kusuo no <U+03A8>-nan",8.43,137,147,786711
"Sayonara no Asa ni Yakusoku no Hana wo Kazarou",8.43,138,539,310830
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season",8.43,139,142,801002
"Major S5",8.43,140,2200,61886
"Grand Blue",8.42,141,273,549409
